"ID příspěvku","ID stránky","Název stránky",Název,Popis,"Délka (v sekundách)","Čas zveřejnění","Typ titulků","Přímý odkaz","Je crosspost","Je sdílený","Typ příspěvku",Jazyky,"Vlastní štítky","Stav financovaného obsahu","Komentář s daty",Datum,Zhlédnutí,Dosah,"Reakce, komentáře a sdílení",Reakce,Komentáře,Sdílení,"Celkem kliknutí","Spotřeba cílení na shodující se okruh uživatelů (Photo Click)","Jiná kliknutí","Kliknutí na odkaz",IMPRESSION:UNIQUE_USERS,"Zhlédnutí s","Průměrné zhlédnutí s","Odhadované výdělky (USD)","CPM reklamy v (USD)","Zobrazení reklamy"
1158721929384822,100057410770738,"Prague International Chess Festival","How it started ➡️ How it’s going! Watch our favorite Hand & Brain duo in action—actor Marek Adamczyk and GM Sam Shankland first teamed up in 2022, and they reunited on the final evening of this year’s tournament. And guess what? They’re only getting better! 🔥♟️

🇨🇿 Jak to začalo ➡️ Jak to jde! Sledujte naši oblíbenou dvojici v Hand & Brain šachu – herec Marek Adamczyk a GM Sam Shankland se poprvé dali dohromady v roce 2022 a znovu se spojili poslední večer letošního turnaje. A hádejte co? Jsou čím dál lepší! 🔥♟️
📷 Petr Vrabec & Anežka Kružíková",,0,"03/18/2025 02:50",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02v6uzPZoLaaGb5Mb1bMP6qDoYZZt3y1EeqshrhVwaJ5nhrqcZFjWhPcd2MCJnwnpNl,0,0,Fotky,,,,,Dlouhodobě,869,425,14,14,0,0,67,58,9,,,,,,,
1161093942480954,100057410770738,"Prague International Chess Festival","„Věda je nástroj naší schopnosti racionálně myslet.“
Děkujeme za skvělý sedmý ročník Pražského šachového festivalu, Karel Janeček! Ty nejlepší šachové partie v Praze se hrály díky mimořádné podpoře Janeček Foundation. Podívejte se, jak nadace přispívá k lepšímu životu u nás i ve světě! 🫶

🇬🇧 ""Science is a tool of our ability to think rationally.""
Thank you for an amazing seventh edition of the Prague International Chess Festival, Karel Janeček! The best chess games in Prague were played with the exceptional support of Janeček Foundation. Check out how the foundation contributes to a better life both here and around the world! 🫶","„Věda je nástroj naší schopnosti racionálně myslet.“
Děkujeme za skvělý sedmý ročník Pražského šachového festivalu, @[100044490217012:2048:Karel Janeček]! Ty nejlepší šachové partie v Praze se hrály díky mimořádné podpoře @[61572131504004:2048:Janeček Foundation]. Podívejte se, jak nadace přispívá k lepšímu životu u nás i ve světě! 🫶

🇬🇧 ""Science is a tool of our ability to think rationally.""
Thank you for an amazing seventh edition of the @[100057410770738:2048:Prague International Chess Festival], @[100044490217012:2048:Karel Janeček]! The best chess games in Prague were played with the exceptional support of @[61572131504004:2048:Janeček Foundation]. Check out how the foundation contributes to a better life both here and around the world! 🫶",59,"03/21/2025 01:37",N/A,https://www.facebook.com/PragueChessFestival/videos/962155159437951/,0,0,Videa,,,,,Dlouhodobě,488,194,3,3,0,0,2,,2,,,2349.184,5.185,0,0,0
1166119668645048,100057410770738,"Prague International Chess Festival","(Sou)hra / (Inter)Play at the Prague International Chess Festival","✨ Watch the full recording of (Sou)hra / (Inter)Play! ✨
Experience this stunning dance performance, recorded live at our @[100057410770738:2048:Prague International Chess Festival].

🩰 Directed & choreographed by: @[1657294330:2048:Alena Pešková] 
🎶 Music composed by: @[100001329410935:2048:Gabriela Vermelho] 

Enjoy the interplay of movement, where dance meets the art of chess! ♟️💃

🇨🇿 ✨ Podívejte se na kompletní záznam představení (Sou)hra / (Inter)Play! ✨
Zažijte jedinečné taneční vystoupení, které bylo živě uvedeno na našem Pražském šachovém festivalu.

🩰 Režie a choreografie: Alena Pešková
🎶 Hudba: Gabriela Vermelho

Užijte si souhru pohybu, kde se tanec setkává s uměním šachu! ♟️💃",970,"03/27/2025 06:33",N/A,https://www.facebook.com/PragueChessFestival/videos/1694952771104096/,0,0,Videa,,,,,Dlouhodobě,945,537,30,23,1,6,13,,13,,,8525.124,10.603,0,0,0
1166375305286151,100057410770738,"Prague International Chess Festival","Happy 40th birthday to our 🇨🇿 legend David Navara! Join us in celebration 🎉 and leave David some nice message in the comments! 

🇨🇿 Legenda českého šachu David Navara slaví 40! Přidejte se k oslavám a zanechte mu v komentářích nějaký pěkný vzkaz! 🎉",,0,"03/27/2025 14:13",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0ENUMs4PzeQ2fEToQzxXw3WRCZrjYA3H5TXp3kZgHucxsEJXswoNTxnFQAxYDkwk8l,0,1,Fotky,,,,,Dlouhodobě,699,404,23,18,5,0,30,2,27,1,,,,,,
1167503458506669,100057410770738,"Prague International Chess Festival","The numbers tells an incredible story! 📊✨
🔍 Read the full report from our Prague International Chess Festival! Thank you StaChesstics! https://stachesstics.com/#post/praguechessfestival2025

🇨🇿 Čísla vyprávějí skvělé příběhy! 📊✨
🔍 Přečtěte si celou zprávu z našeho Pražského šachového festivalu! Děkujeme, StaChesstics! https://stachesstics.com/#post/praguechessfestival2025",,0,"03/29/2025 02:54",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02WNKa8wNAUsWHxkNTyRxep9duvkWAW4jEnjQXSubScBr4fkGJXVwzbMSYqvCoQ4Sdl,0,1,Fotky,,,,,Dlouhodobě,546,178,5,5,0,0,11,1,2,8,,,,,,
1119277536662595,100057410770738,"Prague International Chess Festival","🇨🇿 Czech this out! Some strong lineup on our home base. Václav Finěk and Richard Stalmach are returning for their third appearance, Jáchym Němec is coming with his debut on PICF! More about our favorite (no bias, of course) Challengers right here 👉 https://praguechessfestival.com/en/2025/clanek?id=487

🇨🇿 Podívejte se na to! Silná sestava na domácím hřišti. Václav Finěk a Richard Stalmach se vrací již potřetí, Jáchym Němec se chystá na svůj PICF debut! Více o našich oblíbených (jsme nezaujatí, samozřejmě) Challengerech zde 👉 https://praguechessfestival.com/cs/2025/clanek?id=486",,0,"01/24/2025 07:40",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0QWtxR2ughZC4DkXvTT123cgMJvV7shxcSgifZetujVe2336TKt2qEpdN8FnZr43Jl,0,0,Fotky,,,,,Dlouhodobě,1688,692,41,39,0,2,145,93,36,16,,,,,,
1119979106592438,100057410770738,"Prague International Chess Festival","1️⃣ month to go! Can you feel the chess vibes in the air? In Prague, this is the number one topic and the excitement is rising. The clock will start on 25th of February. See you at Don Giovanni Hotel Prague! ⏳

🇨🇿 Už za 1️⃣ měsíc to vypukne! Cítíte to ve vzduchu? U nás v Praze je to téma číslo jedna a nadšení stoupá. Hodiny spustíme už 25. února. Těšíme se v hotelu Don Giovanni! ⏳",,0,"01/25/2025 08:00",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02BLrvqwtEPuopy7VHDtwg8iHXRBVVmSqp26UtYWNu4zmEfpYrcTXTzm5NSB5WmC1Cl,0,0,Fotky,,,,,Dlouhodobě,573,287,4,4,0,0,2,1,1,,,,,,,
1122423786347970,100057410770738,"Prague International Chess Festival","🏆 One name to join them. One to conquer boards in Prague. Let's walk down the memory lane and celebrate the past winners of Prague International Chess Festival. Who will win this year? We'll find out soon enough. But there's no harm to guess, right? That's what the comments are for! ✍️

🇨🇿 🏆 Jedno jméno, které se k nim přidá. Jeden hráč, který dobyje pražské šachovnice. Pojďme si zavzpomínat a oslavme předchozí vítěze Prague International Chess Festivalu. Kdo vyhraje letos? To se brzy dozvíme, ale hádat není na škodu, ne? Od toho jsou dole ty komentáře! ✍️",,0,"01/28/2025 12:56",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02QHgTdHgnwBtekFCq6T1W8nQEpqbFwacrFQE7vo7mcToTzm6Kg6ZztuAiyCWvRkF7l,0,0,Fotky,,,,,Dlouhodobě,876,245,10,7,3,0,55,40,15,,,,,,,
609508561708585,100057410770738,"Prague International Chess Festival","Prague International Chess Festival 2025",,0,"02/01/2025 02:59",N/A,https://www.facebook.com/events/609508561708585/,0,0,Text,,,,,Dlouhodobě,,,,,,,,,,,77,,,,,
1126043939319288,100057410770738,"Prague International Chess Festival","🔝 Van just won! Huge congratulations to our 🇨🇿hero Thai Dai Van Nguyen who just won Challengers at the Tata Steel Chess Tournament! What a way to get in the game before the main event at Prague International Chess Festival. Well deserved! Enjoy! 👏🤩

🇨🇿 🔝 Van to dokázal! Moc gratulujeme našemu českému hrdinovi Thai Dai Vanovi Nguyenovi, který ovládl Challengers na turnaji Tata Steel Chess! Takhle se ladí forma do Prahy. Zasloužené! Máme velkou radost, užívej oslavy! 👏🤩",,0,"02/02/2025 09:16",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0GEbEGwDya5HtwmPPkrBFR9w6HQRbCtSN4iSo7Qtvn31ubeHyzA1Rvtwg5qhut6xdl,0,0,Fotky,,,,,Dlouhodobě,6706,969,347,320,17,10,531,93,437,1,,,,,,
1126154999308182,100057410770738,"Prague International Chess Festival","Another champion with travel plans to Prague! 🏆👈 We cheer for you R Praggnanandhaa and can’t wait to see the new shiny trophy! Congrats from PICF team! What a year at Tata Steel Chess Tournament! 👏

🇨🇿 Další vítěz s letenkou do Prahy! 🏆👈 Jásáme s tebou R Praggnanandhaa a nemůžeme se dočkat, až nám tu novou nablýskanou trofej ukážeš! Posíláme velké gratulace od všech z Prague International Chess Festival týmu! Přátelé z Tata Steel, to by ale ročník! 👏",,0,"02/02/2025 12:58",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0HycMNQMWKD3uksmbDgY6iFSDkjL1iHEUVkgjevd9MD5C64JUyZsJEbtYxhRgfJAFl,0,0,Fotky,,,,,Dlouhodobě,1048,300,15,15,0,0,63,45,18,,,,,,,
1128013199122362,100057410770738,"Prague International Chess Festival","PICF is coming soon!
🗓 25th February - 7th March 2025
📍Hotel Don Giovanni, Prague

www.praguechessfestival.com

See you! ❤️",,0,"02/05/2025 05:17",N/A,https://www.facebook.com/photo.php?fbid=1128013199122362&set=a.199039752019716&type=3,0,0,Fotky,,,,,Dlouhodobě,1,17,16,15,0,1,0,,,,,,,,,
1129448958978786,100057410770738,"Prague International Chess Festival","♟👱‍♀️ The Girls from the Future

We are proud to present this year's all-female Futures roster! Every year, we strive to highlight the importance of women who have found their passion in the royal game. With the support of our amazing ambassador, FIDE - International Chess Federation Managing Director Dana Reizniece, this effort has never been more rewarding than in the upcoming tournament.

These young players will make you fall in love with chess all over again. 🫶 The Futures tournament is held with the support of the European Chess Union, which is celebrating its 40th anniversary this year. 

🇨🇿 ♟👱‍♀️ Dívky z budoucnosti

Jsme hrdí na to, že vám můžeme představit letošní hráčky kategorie Futures! Každý rok se snažíme zdůraznit důležitost ženského šachu. S podporou naší úžasné ambasadorky, výkonné ředitelky Mezinárodní šachové federace FIDE Dany Reizniece, nebylo toto úsilí nikdy tak přínosné, jako v nadcházejícím turnaji.

Díky těmto mladým hráčkám si šachy znovu zamilujete. 🫶
Turnaj Futures se koná za podpory Evropské šachové unie, která letos slaví 40 let od svého založení.",,0,"02/07/2025 06:54",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02Z717vBMbZX24kjEdiUp2cgkwMmweSNhXKBFsKmaxagXLFfNrthasmgpjunn9KD3ml,0,0,Fotky,,,,,Dlouhodobě,6177,2645,372,274,92,6,487,269,218,,,,,,,
1130151728908509,100057410770738,"Prague International Chess Festival","🎬 We had a fantastic time shooting the official promo for the 7th Prague International Chess Festival! The face of our little adventure is actor and chess enthusiast Marek Adamczyk! Here’s a behind-the-scenes look from the always glorious halls of the Don Giovanni Hotel Prague. Stay tuned! 🎥

🇨🇿 🎬 Natáčení oficiálního promo videa k 7. ročníku Prague International Chess Festivalu jsme si náramně užili! Tváří našeho malého dobrodružství se stal herec a šachový nadšenec Marek Adamczyk! Zde je malý pohled do zákulisí. Kamera byla v akci v našich oblíbených prostorách honosných sálů pražského hotelu Don Giovanni. Dál nás sledujte a těšte se na výsledek! 🎥

📷Aneta Bernhardtová & PICF",,0,"02/08/2025 07:27",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02tKVWse4mR6MSfs2C7bfTdgnZinUQCuJbQs8titUzAAhaqDRih2C5sMpSof52SL8Ul,0,0,Fotky,,,,,Dlouhodobě,1216,315,18,18,0,0,86,60,26,,,,,,,
1131564472100568,100057410770738,"Prague International Chess Festival","Prague International Chess Festival 2025 - Nejlepší světové šachy znovu v Praze!","🤝♟Nejlepší světové šachy znovu v Praze!

Herec a šachista Marek Adamczyk vás srdečně zve na 7. ročník Pražského šachového festivalu! Čeká vás prvotřídní sportovní zážitek, ať už jste šachoví nadšenci nebo jste Queen's Gambit viděli jen v televizi. Turnaj mezinárodních hvězd královské hry nabídne i bohatý doprovodný program. Těšíme se už 25. února v krásných prostorách hotelu @[100065547697391:2048:Don Giovanni Hotel Prague]! 🔜

🏴󠁧󠁢󠁥󠁮󠁧󠁿 The best chess in the world is back in Prague! ♟🤝

Actor and chess player Marek Adamczyk cordially invites you to the Prague International Chess Festival! Whether you're a passionate chess enthusiast or have only seen Queen's Gambit on TV, this event promises a first-class experience.

The tournament will feature international stars of the royal game and offer a rich accompanying program. We look forward to seeing you on February 25th at the beautiful Don Giovanni Hotel in Prague! 🔜",90,"02/10/2025 09:00",N/A,https://www.facebook.com/PragueChessFestival/videos/1152147709852031/,0,0,Videa,,,,,Dlouhodobě,3757,2521,163,129,6,28,165,,160,5,,43931.339,13.664,0,0,0
643144954741055,100057410770738,"Prague International Chess Festival","Geopolitické šachy: Jakou figurkou je Česko na šachovnici světa?",,0,"02/13/2025 05:59",N/A,https://www.facebook.com/events/643144954741055/,0,0,Text,,,,,Dlouhodobě,,,,,,,,,,,148,,,,,
1133579508565731,100057410770738,"Prague International Chess Festival","🤝♟🌏 Geopolitické šachy
Přijměte naše pozvání na unikátní debatu v rámci Prague International Chess Festival 2025. 

💬 Diskutovat budou: Tomáš Sedláček se synem Kryštofem, Karel Janeček, Ivan Rynda a Ján Markoš.
🎤 Moderuje: Čestmír Strakatý.
🚪 Hostí: Kino 64 U Hradeb
ℹ️ Událost: Geopolitické šachy: Jakou figurkou je Česko na šachovnici světa? 
🎫 Vstupenky zakoupíte na: https://bit.ly/geopoliticke-sachy nebo přes QR kód na plakátu.

Po debatě bude následovat taneční performance (Sou)Hra
🎬Režie a choreografie: Alena Pešková
🎹Hudba: Gabriela Vermelho
💃Taneční soubor Ultra-minimal-ballet

Těšíme se na vás!🤝

🇬🇧 ♟🌏 Geopolitical Chess (Czech only)
Join us for a unique debate as part of the Prague International Chess Festival 2025.

💬 Discussion panel: Tomáš Sedláček and his son Kryštof, Karel Janeček, Ivan Rynda, and Ján Markoš
🎤 Moderator: Čestmír Strakatý
🚪 Venue: Cinema 64 U Hradeb
🎫 Tickets: https://bit.ly/geopoliticke-sachy

After the debate, a dance performance (Sou)Hra will follow.
🎬 Direction and choreography: Alena Pešková
🎹 Music: Gabriela Vermelho
💃 Dance ensemble: Ultra-minimal-ballet

We look forward to seeing you there! 🤝",,0,"02/13/2025 09:37",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02S41ckRWif6GSc6P6LSrvSJ98HSZXnqBnMNfHSByoJTYNjEEuPmgGaRn1NFDhfjS1l,0,0,Fotky,,,,,Dlouhodobě,3998,2107,45,37,2,6,112,45,55,12,,,,,,
1135293048394377,100057410770738,"Prague International Chess Festival","Prague International Chess Festival - Šachy, jaké jste ještě neviděli!","♟👑 Šachy, jaké jste ještě neviděli! Přijďte zažít @[100057410770738:2048:Prague International Chess Festival]  – vrcholnou šachovou událost v Praze. Začínáme 25. února v @[100065547697391:2048:Don Giovanni Hotel Prague]. Buďte u toho! 🔜

🇬🇧 ♟👑 Chess like you've never seen before! Experience the Prague International Chess Festival – a top-tier event in the capital. We kick off on February 25th at Don Giovanni Hotel Prague. Don't miss it! 🔜",30,"02/15/2025 11:51",N/A,https://www.facebook.com/PragueChessFestival/videos/1106611134809679/,0,0,Videa,,,,,Dlouhodobě,2710,860,83,65,6,12,84,,83,1,,21022.559,9.8,0,0,0
