"ID příspěvku","ID stránky","Název stránky",Název,Popis,"Délka (v sekundách)","Čas zveřejnění","Typ titulků","Přímý odkaz","Je crosspost","Je sdílený","Typ příspěvku",Jazyky,"Vlastní štítky","Stav financovaného obsahu","Komentář s daty",Datum,Zhlédnutí,Dosah,IMPRESSION:UNIQUE_USERS,"Reakce, komentáře a sdílení",Reakce,Komentáře,Sdílení,"Celkem kliknutí","Jiná kliknutí","Spotřeba cílení na shodující se okruh uživatelů (Photo Click)","Kliknutí na odkaz","Negativní ohlasy od uživatelů: Skrýt vše","Zhlédnutí s","Průměrné zhlédnutí s","Odhadované výdělky (USD)","CPM reklamy v (USD)","Zobrazení reklamy"
1435862538337425,100057410770738,"Prague International Chess Festival","👉 Two rounds, two wins - that’s the tally for Thomas Beerdsen and Štěpán Hrbek in the Challengers. Václav Finěk is currently in third place. What will Round 3 bring? ♟️👀

👉 Dvě kola, dvě výhry, tuto bilanci drží v turnaji Challengers Thomas Beerdsen a Štěpán Hrbek. Třetí je aktuálně Václav Finěk. Co přinese třetí kolo?",,0,"02/26/2026 22:40",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0tmhnDW6qesUioU9ZaXnPWH5Hf5EdkbCvWZhfT4XCMgc4xVB1aT47XLuyJssTWnEyl,0,0,Fotky,,,,,Dlouhodobě,808,464,,3,3,0,0,4,3,1,,,,,,,
1435930278330651,100057410770738,"Prague International Chess Festival","Drama, tension, and breathtaking games! ♟️🔥 Day 2 of the Prague Chess Festival delivered plenty of exciting moments.
Watch the video and step inside the Don Giovanni Hotel with us. 👇👀

Drama, napětí i dechberoucí partie! Druhý hrací den na Pražském šachovém festivalu přinesl spoustu zajímavých okamžiků. Pojďte se podívat do pražského hotelu Don Giovanni.👇👀","Drama, tension, and breathtaking games! ♟️🔥 Day 2 of the Prague Chess Festival delivered plenty of exciting moments.
Watch the video and step inside the Don Giovanni Hotel with us. 👇👀

Drama, napětí i dechberoucí partie! Druhý hrací den na Pražském šachovém festivalu přinesl spoustu zajímavých okamžiků. Pojďte se podívat do pražského hotelu Don Giovanni.👇👀",123,"02/27/2026 00:34",N/A,https://www.facebook.com/reel/2333706043811459/,0,0,Videa,,,,,Dlouhodobě,657,540,,14,9,1,4,13,13,,,,7282.756,12.799,0,0,0
1436036044986741,100057410770738,"Prague International Chess Festival","📣 INTERVIEW: The defending champion Aravindh Chithambaram managed to turn the match against Hans Niemann, securing his first point of the tournament. However, in his own words, he still cannot quite erase the memory of his first-round defeat to Nodirbek Abdusattorov.

📣 ROZHOVOR: Obhájce loňského vítězství Aravindh Chithambaram dokázal s černými figurami otočit průběh partie s Hansem Niemannem a může slavit bodový zisk. Podle jeho slov se mu ale stále nepodařilo vymazat z paměti prohru z prvního kola, ve kterém nestačil na Nodirbeka Abdussatorova.","📣 INTERVIEW: The defending champion Aravindh Chithambaram managed to turn the match against Hans Niemann, securing his first point of the tournament. However, in his own words, he still cannot quite erase the memory of his first-round defeat to Nodirbek Abdusattorov.

📣 ROZHOVOR: Obhájce loňského vítězství Aravindh Chithambaram dokázal s černými figurami otočit průběh partie s Hansem Niemannem a může slavit bodový zisk. Podle jeho slov se mu ale stále nepodařilo vymazat z paměti prohru z prvního kola, ve kterém nestačil na Nodirbeka Abdussatorova.",100,"02/27/2026 03:41",N/A,https://www.facebook.com/reel/2299798670541695/,0,0,Videa,,,,,Dlouhodobě,380,380,,3,3,0,0,2,2,,,,1411.032,4.031,0,0,0
1436058974984448,100057410770738,"Prague International Chess Festival","📣 INTERVIEW: How did David Anton Guijarro
 evaluate his Round 2 victory? Take a listen! ♟️🎙️

📣 ROZHOVOR: Jak popsal svoji výhru v 2. kole David Anton Guijarro? Poslechněte si! ♟️🎙️","📣 INTERVIEW: How did David Anton Guijarro
 evaluate his Round 2 victory? Take a listen! ♟️🎙️

📣 ROZHOVOR: Jak popsal svoji výhru v 2. kole David Anton Guijarro? Poslechněte si! ♟️🎙️",102,"02/27/2026 04:17",N/A,https://www.facebook.com/reel/1525161061915668/,0,0,Videa,,,,,Dlouhodobě,464,411,,5,5,0,0,3,3,,,,1911.571,4.628,0,0,0
1436069478316731,100057410770738,"Prague International Chess Festival","Besides the other games on today’s schedule, #PICF features two that deserve special attention.

In the Masters section, two symbols of the rising chess generation — Vincent Keymer and Nodirbek Abdusattorov — will face each other. They first met as far back as the U10 World Championship in 2014, and currently hold 4th and 5th place respectively in the world rankings. The Challengers section will feature a clash between Divya Deshmukh and Zhu Jiner, who are set to meet again in just a month’s time at the Candidates Tournament. Zhu will have extra motivation as well — it was Deshmukh who eliminated her in the Round of 16 at the Women’s World Cup

Tune in to our broadcast so you don’t miss a single move! We start at 15:00! ♟️

Kromě ostatních partií dnes #PICF nabízí dvě, které stojí za speciální zmínku. 
V sekci Masters se proti sobě postaví dva symboly nastupující generace šachistů Vincent Keymer a Nodirbek Abdusattorov. Poprvé se potkali už na MS U10 v roce 2014, aktuálně opanují 4., potažmo 5. místo světového žebříčku. Challengers kategorie zase nabídne souboj mezi Divyou Desmukh a Jiner Zhu, které se spolu utkají už za měsíc v turnaji kandidátek. Zhu navíc má Indce co vracet, na světovém poháru ji totiž právě ona vyřadila v osmifinále. Laďte naše přenosy, ať vám nic neunikne! Začínáme v 15:00!",,0,"02/27/2026 04:34",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02mZeRwESJatRTZZZu5ezDL6AA2ovZsLcijRcxAWDfQLWQb6jRZZopSUirf8whoXb2l,0,0,Fotky,,,,,Dlouhodobě,877,468,,3,3,0,0,15,4,11,,,,,,,
1436077814982564,100057410770738,"Prague International Chess Festival","Picture time! 📸🫶 Enjoy some photos from round 2! ♟️

📷 by @zewlakk_foto 💥

Užijte si výběr fotek z druhého kola. To třetí startuje v 15:00. ♟️ Přijďte se podívat! 

#chess #game #prague #praha #sachy",,0,"02/27/2026 04:46",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0pB1hQb3CaLtiiSN91w7CSYX6iXhdZgAxTEyFSbRputKQzrQd6Hf7vxa1ffLju7Hbl,0,0,Fotky,,,,,Dlouhodobě,1511,806,,23,23,0,0,116,18,97,1,,,,,,
1436120451644967,100057410770738,"Prague International Chess Festival","Day 3⃣, let's go! 🔥

Třetí kolo je tady! ♟️",,0,"02/27/2026 05:44",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid03573jaXBq7beqhBuSCxL1Vm8KDG4G1gTgzg6QUNcaaFTaVCrx4gwK9ay7FZBVZgj8l,0,0,Fotky,,,,,Dlouhodobě,772,379,,5,4,0,1,12,5,7,,,,,,,
1436196218304057,100057410770738,"Prague International Chess Festival","You are always welcome in Prague, champ! 🫶♟️

Vždycky Tě v Praze rádi vidíme, šampione! 😍

ChessBase India",,0,"02/27/2026 07:35",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid03Ht2soBBxcE5ZBbKqbqBu8BZz66cSbJgQMU1Hsq6kZYsGMNW5uasmNxpeGsHM42El,0,0,Fotky,,,,,Dlouhodobě,2536,1426,,31,29,1,1,226,43,183,,,,,,,
1436199418303737,100057410770738,"Prague International Chess Festival","Reigning world champion and his arrival to Prague. 🤩

Úřadující mistr světa a jeho příjezd do Prahy. 👑","Reigning world champion and his arrival to Prague. 🤩

Úřadující mistr světa a jeho příjezd do Prahy. 👑",10,"02/27/2026 07:39",N/A,https://www.facebook.com/reel/2468934093561294/,0,0,Videa,,,,,Dlouhodobě,933,760,,6,6,0,0,2,2,,,,2806.231,3.534,0.01,0,0
1436209601636052,100057410770738,"Prague International Chess Festival","""I will never try to kill the game."" says the current number 1 in Iran Parham Maghsoodloo. Full interview soon on our YouTube channel.

Poslechněte si ústřižek z rozhovoru s íránskou jedničkou Parhamem Mghsoodloem. Celý rozhovor již brzy na našem YouTube kanálu.","""I will never try to kill the game."" says the current number 1 in Iran Parham Maghsoodloo. Full interview soon on our YouTube channel.

Poslechněte si ústřižek z rozhovoru s íránskou jedničkou Parhamem Mghsoodloem. Celý rozhovor již brzy na našem YouTube kanálu.",125,"02/27/2026 07:54",uploaded,https://www.facebook.com/reel/1246557030783876/,0,0,Videa,,,,,Dlouhodobě,591,502,,8,8,0,0,6,6,,,,4870.327,9.402,0,0,0
1436359021621110,100057410770738,"Prague International Chess Festival","These are results of round 3. Which game did you enjoy the most? ♟️

Podívejte se na výsledky třetího kola. Jakou partii jste si nejvíc užili? ♟️",,0,"02/27/2026 12:14",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0FDqSKuBE7KbxSWnzpkKXRh257ewAXEWjKRTXFbGBrLZVoJa9uTnVdKUoXr6ub9Qwl,0,0,Fotky,,,,,Dlouhodobě,948,461,,4,4,0,0,39,3,36,,,,,,,
1436359964954349,100057410770738,"Prague International Chess Festival","Have a look at standings after round 3. We continue tommorow!

Takto vypadá průběžné pořadí po třetím kola. Zítra pokračujeme!",,0,"02/27/2026 12:16",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0242UJhcd8bMA5T5YMLd4US87wJd9Cf1xF29sg1PKdioYQ74LGrTT6djr7F9s4An1wl,0,0,Fotky,,,,,Dlouhodobě,1329,685,,4,4,0,0,68,17,51,,,,,,,
1436808291576183,100057410770738,"Prague International Chess Festival","Another day, more dramatic games and more surprising results. Take a look back at Children’s Day as well as the third round of the Prague International Chess Festival.

Další den, další dramatické partie a další překvapivé výsledky. Koukněte na ohlédnutí za dětským dnem a také třetím kolem na Pražském šachovém festivalu","Another day, more dramatic games and more surprising results. Take a look back at Children’s Day as well as the third round of the Prague International Chess Festival.

Další den, další dramatické partie a další překvapivé výsledky. Koukněte na ohlédnutí za dětským dnem a také třetím kolem na Pražském šachovém festivalu",100,"02/28/2026 01:45",N/A,https://www.facebook.com/reel/912528031671530/,0,0,Videa,,,,,Dlouhodobě,709,560,,18,16,0,2,10,10,,,,6112.335,10.136,0,0,0
1436828314907514,100057410770738,"Prague International Chess Festival","Prague International Chess Festival přidal(a) fotky do alba: PICF 2026 - Round 3",,0,"02/28/2026 02:17",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0A9d7cgHHF44mLFbsCqE1cw7YXNkAtE362RUBDv11KcQnnuwkHwvvmfqRueEAQd1Ll,0,0,Fotky,,,,,Dlouhodobě,1061,507,,10,9,0,1,70,12,58,,,,,,,
1436901161566896,100057410770738,"Prague International Chess Festival","Jonas Buhl Bjerre defeated Thomas Beerdsen in Round 3. He secured his first win of the event. Here is his assessment. ♟️🎙️

Jonas Buhl Bjerre ve třetím kole porazil Thomase Beerdsena, který byl dosud ve vedení. Získal tak první turnajové vítězství. Tady je jeho hodnocení. ♟️🎙️","Jonas Buhl Bjerre defeated Thomas Beerdsen in Round 3. He secured his first win of the event. Here is his assessment. ♟️🎙️

Jonas Buhl Bjerre ve třetím kole porazil Thomase Beerdsena, který byl dosud ve vedení. Získal tak první turnajové vítězství. Tady je jeho hodnocení. ♟️🎙️",129,"02/28/2026 04:07",N/A,https://www.facebook.com/reel/2168459680359867/,0,0,Videa,,,,,Dlouhodobě,379,326,,2,2,0,0,0,,,,,1833.341,5.606,0,0,0
